combo,weight,ev
AcKsKc8c,1,0.47
AcKhKc8c,1,0.47
AcKdKc8c,1,0.47
AsKsKh7s,1,0.46
AsKsKd7s,1,0.46
AsKsKc7s,1,0.46
AhKhKd7h,1,0.46
AhKhKc7h,1,0.46
AhKsKh7h,1,0.46
AdKdKc7d,1,0.46
AdKsKd7d,1,0.46
AdKhKd7d,1,0.46
AcKsKc7c,1,0.46
AcKhKc7c,1,0.46
AcKdKc7c,1,0.46
AsKsKh6s,1,0.44
AsKsKd6s,1,0.44
AsKsKc6s,1,0.44
AhKhKd6h,1,0.44
AhKhKc6h,1,0.44
AhKsKh6h,1,0.44
AdKdKc6d,1,0.44
AdKsKd6d,1,0.44
AdKhKd6d,1,0.44
AcKsKc6c,1,0.44
AcKhKc6c,1,0.44
AcKdKc6c,1,0.44
AsKsKh5s,1,0.57
AsKsKd5s,1,0.57
AsKsKc5s,1,0.57
AhKhKd5h,1,0.57
AhKhKc5h,1,0.57
AhKsKh5h,1,0.57
AdKdKc5d,1,0.57
AdKsKd5d,1,0.57
AdKhKd5d,1,0.57
AcKsKc5c,1,0.57
AcKhKc5c,1,0.57
AcKdKc5c,1,0.57
AsKsKh4s,1,0.55
AsKsKd4s,1,0.55
AsKsKc4s,1,0.55
AhKhKd4h,1,0.55
AhKhKc4h,1,0.55
AhKsKh4h,1,0.55
AdKdKc4d,1,0.55
AdKsKd4d,1,0.55
AdKhKd4d,1,0.55
AcKsKc4c,1,0.55
AcKhKc4c,1,0.55
AcKdKc4c,1,0.55
AsKsKh3s,1,0.52
AsKsKd3s,1,0.52
AsKsKc3s,1,0.52
AhKhKd3h,1,0.52
AhKhKc3h,1,0.52
AhKsKh3h,1,0.52
AdKdKc3d,1,0.52
AdKsKd3d,1,0.52
AdKhKd3d,1,0.52
AcKsKc3c,1,0.52
AcKhKc3c,1,0.52
AcKdKc3c,1,0.52
AsKsKh2s,1,0.45
AsKsKd2s,1,0.45
AsKsKc2s,1,0.45
AhKhKd2h,1,0.45
AhKhKc2h,1,0.45
AhKsKh2h,1,0.45
AdKdKc2d,1,0.45
AdKsKd2d,1,0.45
AdKhKd2d,1,0.45
AcKsKc2c,1,0.45
AcKhKc2c,1,0.45
AcKdKc2c,1,0.45
AsKsKhQh,1,1.56
AsKsKdQd,1,1.56
AsKsKcQc,1,1.56
AhKhKdQd,1,1.56
AhKhKcQc,1,1.56
AhKsKhQs,1,1.56
AdKdKcQc,1,1.56
AdKsKdQs,1,1.56
AdKhKdQh,1,1.56
AcKsKcQs,1,1.56
AcKhKcQh,1,1.56
AcKdKcQd,1,1.56
AsKsKhJh,1,1.57
AsKsKdJd,1,1.57
AsKsKcJc,1,1.57
AhKhKdJd,1,1.57
AhKhKcJc,1,1.57
AhKsKhJs,1,1.57
AdKdKcJc,1,1.57
AdKsKdJs,1,1.57
AdKhKdJh,1,1.57
AcKsKcJs,1,1.57
AcKhKcJh,1,1.57
AcKdKcJd,1,1.57
AsKsKhTh,1,1.57
AsKsKdTd,1,1.57
AsKsKcTc,1,1.57
AhKhKdTd,1,1.57
AhKhKcTc,1,1.57
AhKsKhTs,1,1.57
AdKdKcTc,1,1.57
AdKsKdTs,1,1.57
AdKhKdTh,1,1.57
AcKsKcTs,1,1.57
AcKhKcTh,1,1.57
AcKdKcTd,1,1.57
